device_id,window_id,label,dC,dL,dP,dE,dF,dS,dT,cyc_per_us,lsu_per_cyc,cpi_per_cyc,exc_per_cyc,fold_per_cyc
1,0,0,15024777,6522,5429,1503,6316,0,100166,149.998779,0.000434,0.000361,0.000100,0.000420
1,1,0,14999986,7717,5598,4193,6123,0,99999,150.001358,0.000514,0.000373,0.000280,0.000408
1,2,0,15000000,6842,6535,4109,6781,0,100000,150.000000,0.000456,0.000436,0.000274,0.000452
1,3,0,15000000,7473,4991,4096,6491,0,100000,150.000000,0.000498,0.000333,0.000273,0.000433
1,4,0,15000000,6742,6626,4057,6163,0,100000,150.000000,0.000449,0.000442,0.000270,0.000411
1,5,0,15000000,7205,5321,4258,6293,0,100000,150.000000,0.000480,0.000355,0.000284,0.000420
1,6,0,15000000,7439,5718,4387,6086,0,100000,150.000000,0.000496,0.000381,0.000292,0.000406
1,7,0,15000002,6554,5662,4334,6142,0,100000,150.000015,0.000437,0.000377,0.000289,0.000409
1,8,0,14999998,6665,6116,4173,5578,0,100000,149.999985,0.000444,0.000408,0.000278,0.000372
1,9,0,15000000,7235,6426,4355,6964,0,100000,150.000000,0.000482,0.000428,0.000290,0.000464
1,10,0,15000008,7174,5929,4166,5843,0,100000,150.000076,0.000478,0.000395,0.000278,0.000390
1,11,0,14999992,7280,6196,4156,6092,0,100000,149.999924,0.000485,0.000413,0.000277,0.000406
1,12,0,15000000,7778,5043,4185,6537,0,100000,150.000000,0.000519,0.000336,0.000279,0.000436
1,13,0,15000000,7365,6287,4131,6344,0,100000,150.000000,0.000491,0.000419,0.000275,0.000423
1,14,0,15000001,7289,6497,4077,6031,0,100000,150.000015,0.000486,0.000433,0.000272,0.000402
1,15,0,14999999,7638,5624,4166,6536,0,100000,149.999985,0.000509,0.000375,0.000278,0.000436
1,16,0,15000000,8112,5516,4365,6470,0,100000,150.000000,0.000541,0.000368,0.000291,0.000431
1,17,0,15000014,7784,5935,4404,6765,0,100001,149.998642,0.000519,0.000396,0.000294,0.000451
1,18,0,14999986,7383,5413,4188,6741,0,99999,150.001358,0.000492,0.000361,0.000279,0.000449
1,19,0,15000000,7281,6031,4256,6035,0,100000,150.000000,0.000485,0.000402,0.000284,0.000402
1,20,0,15000000,7435,5964,4109,6253,0,100000,150.000000,0.000496,0.000398,0.000274,0.000417
1,21,0,15000001,7193,5672,4149,6433,0,100000,150.000015,0.000480,0.000378,0.000277,0.000429
1,22,0,14999999,8193,5807,4056,6244,0,100000,149.999985,0.000546,0.000387,0.000270,0.000416
1,23,0,15000000,7848,5082,4172,6794,0,100000,150.000000,0.000523,0.000339,0.000278,0.000453
1,24,0,15000000,7251,6068,4311,6678,0,100000,150.000000,0.000483,0.000405,0.000287,0.000445
1,25,0,15000000,7865,5165,4118,6310,0,100000,150.000000,0.000524,0.000344,0.000275,0.000421
1,26,0,15000000,7005,5791,4104,6273,0,100000,150.000000,0.000467,0.000386,0.000274,0.000418
1,27,0,15000000,7007,5458,4319,6349,0,100000,150.000000,0.000467,0.000364,0.000288,0.000423
1,28,0,15000005,6890,5456,4318,6224,0,100000,150.000046,0.000459,0.000364,0.000288,0.000415
1,29,0,14999995,6856,6046,4227,6095,0,100000,149.999954,0.000457,0.000403,0.000282,0.000406
1,30,0,15000000,6063,5391,4171,6853,0,100000,150.000000,0.000404,0.000359,0.000278,0.000457
1,31,0,15000000,6942,5266,4243,6479,0,100000,150.000000,0.000463,0.000351,0.000283,0.000432
1,32,0,15000000,7012,5842,4188,5775,0,100000,150.000000,0.000467,0.000389,0.000279,0.000385
1,33,0,15000000,6891,5283,4158,5983,0,100000,150.000000,0.000459,0.000352,0.000277,0.000399
1,34,0,15000000,6312,6048,4241,6384,0,100000,150.000000,0.000421,0.000403,0.000283,0.000426
1,35,0,15000001,7692,5721,4186,6309,0,100000,150.000015,0.000513,0.000381,0.000279,0.000421
1,36,0,14999999,8055,6396,4060,6429,0,100000,149.999985,0.000537,0.000426,0.000271,0.000429
1,37,0,15000000,8700,6079,4241,6146,0,100000,150.000000,0.000580,0.000405,0.000283,0.000410
1,38,0,15000000,7410,5622,4109,6604,0,100000,150.000000,0.000494,0.000375,0.000274,0.000440
1,39,0,15000000,6846,5691,4115,6592,0,100000,150.000000,0.000456,0.000379,0.000274,0.000439
1,40,0,15000000,8072,6521,4020,6287,0,100000,150.000000,0.000538,0.000435,0.000268,0.000419
1,41,0,15000000,5732,5757,4314,5404,0,100000,150.000000,0.000382,0.000384,0.000288,0.000360
1,42,0,15000000,6457,5349,4205,6509,0,100000,150.000000,0.000430,0.000357,0.000280,0.000434
1,43,0,15000001,6603,5882,4056,6556,0,100000,150.000015,0.000440,0.000392,0.000270,0.000437
1,44,0,14999999,7308,5820,4148,6056,0,100000,149.999985,0.000487,0.000388,0.000277,0.000404
1,45,0,15000000,6801,5336,4365,6506,0,100000,150.000000,0.000453,0.000356,0.000291,0.000434
1,46,0,15000004,6923,6677,4287,6086,0,100000,150.000046,0.000462,0.000445,0.000286,0.000406
1,47,0,14999996,6864,6128,4166,6469,0,100000,149.999954,0.000458,0.000409,0.000278,0.000431
1,48,0,15000000,7561,5071,4148,5768,0,100000,150.000000,0.000504,0.000338,0.000277,0.000385
1,49,0,15000000,6766,6455,4241,6246,0,100000,150.000000,0.000451,0.000430,0.000283,0.000416
1,50,0,15000007,6557,5696,4095,6523,0,100000,150.000076,0.000437,0.000380,0.000273,0.000435
1,51,0,14999993,6600,5497,4166,6261,0,100000,149.999924,0.000440,0.000366,0.000278,0.000417
1,52,0,15000000,7727,5562,4372,6276,0,100000,150.000000,0.000515,0.000371,0.000291,0.000418
1,53,0,15000000,7825,6611,4372,6568,0,100000,150.000000,0.000522,0.000441,0.000291,0.000438
1,54,0,15000000,7425,4778,4268,6755,0,100000,150.000000,0.000495,0.000319,0.000285,0.000450
1,55,0,15000000,7615,4856,4171,6607,0,100000,150.000000,0.000508,0.000324,0.000278,0.000440
1,56,0,15000000,6982,5760,4265,5842,0,100000,150.000000,0.000465,0.000384,0.000284,0.000389
1,57,0,15000011,7160,5323,4157,6656,0,100000,150.000107,0.000477,0.000355,0.000277,0.000444
1,58,0,14999989,6239,5733,4186,6430,0,100000,149.999893,0.000416,0.000382,0.000279,0.000429
1,59,0,15000000,7870,5385,4130,5694,0,100000,150.000000,0.000525,0.000359,0.000275,0.000380
1,60,0,15000000,7296,6566,4130,5917,0,100000,150.000000,0.000486,0.000438,0.000275,0.000394
1,61,0,15000000,6109,5829,4187,6335,0,100000,150.000000,0.000407,0.000389,0.000279,0.000422
1,62,0,15000000,7991,6615,4056,6540,0,100000,150.000000,0.000533,0.000441,0.000270,0.000436
1,63,0,15000000,7027,6436,4219,6492,0,100000,150.000000,0.000468,0.000429,0.000281,0.000433
1,64,0,15000000,6980,5509,4172,6250,0,100000,150.000000,0.000465,0.000367,0.000278,0.000417
1,65,0,15000000,8119,5884,4188,6077,0,100000,150.000000,0.000541,0.000392,0.000279,0.000405
1,66,0,15000000,7252,5997,4109,6088,0,100000,150.000000,0.000483,0.000400,0.000274,0.000406
1,67,0,15000000,6297,5884,4109,5914,0,100000,150.000000,0.000420,0.000392,0.000274,0.000394
